Month,Borough,Community Board,District,Cleaning Section,Acceptable Streets %,Acceptable Sidewalks %,Acceptable Streets % - Previous Month,Acceptable Sidewalks % - Previous Month,Acceptable Streets % - Previous Year,Acceptable Sidewalks % - Previous Year,Acceptable Streets % - Previous Fiscal Quarter,Acceptable Sidewalks % - Previous Fiscal Quarter
2018 / 01,Manhattan,1,MN01,MN011,90.24,100,91.89,100,95.56,100,88.37,95.24
2018 / 01,Manhattan,1,MN01,MN013,90.91,100,100,100,96,100,75,100
2018 / 01,Manhattan,2,MN02,MN021,83.33,95.83,100,100,96,100,84,100
2018 / 01,Manhattan,2,MN02,MN022,91.3,100,100,100,100,100,100,95.83
2018 / 01,Manhattan,2,MN02,MN023,83.33,100,96.55,100,100,100,95.65,100
2018 / 01,Manhattan,3,MN03,MN031,84.21,100,67.5,94.87,87.01,95.95,86.21,100
2018 / 01,Manhattan,3,MN03,MN032,86.96,100,86.96,91.3,89.36,97.78,95.45,100
2018 / 01,Manhattan,3,MN03,MN033,82.86,97.14,96.77,90.32,89.55,97.01,95.12,100
2018 / 01,Manhattan,3,MN03,MN034,87.5,100,92.11,94.74,91.67,91.67,95.56,100
2018 / 01,Manhattan,4,MN04,MN041,96,100,91.67,100,100,100,87.76,96
2018 / 01,Manhattan,4,MN04,MN042,100,100,100,92,95.45,100,84.78,89.36
2018 / 01,Manhattan,4,MN04,MN043,100,100,97.83,100,97.92,97.92,91.75,96.97
2018 / 01,Manhattan,5,MN05,MN051,89.36,93.62,91.57,98.8,97.62,98.81,90,97.5
2018 / 01,Manhattan,5,MN05,MN052,88.89,95.56,100,100,98.73,100,94.87,100
2018 / 01,Manhattan,6,MN06,MN061,84.21,91.67,100,100,100,100,88.89,94.29
2018 / 01,Manhattan,6,MN06,MN062,84,96,100,100,96,96,96,100
2018 / 01,Manhattan,6,MN06,MN063,100,100,100,100,100,100,100,100
2018 / 01,Manhattan,7,MN07,MN071,96,96,100,100,100,100,98,100
2018 / 01,Manhattan,7,MN07,MN072,92,100,100,100,100,100,86,100
2018 / 01,Manhattan,7,MN07,MN073,92,100,96.15,100,100,100,91.49,97.87
2018 / 01,Manhattan,7,MN07,MN074,100,100,91.67,100,100,100,96,100
2018 / 01,Manhattan,7,MN07,MN075,96.3,96.3,100,100,100,100,96.08,100
2018 / 01,Manhattan,8,MN08,MN081,91.67,100,100,100,95.83,100,80,100
2018 / 01,Manhattan,8,MN08,MN082,84,96,100,100,100,100,92,100
2018 / 01,Manhattan,8,MN08,MN083,92.59,100,100,100,100,100,88,96
2018 / 01,Manhattan,8,MN08,MN084,100,96,100,100,91.3,100,87.5,91.67
2018 / 01,Manhattan,8,MN08,MN085,96,100,100,100,95.65,100,100,96
2018 / 01,Manhattan,9,MN09,MN091,84,98,94.23,96.15,96.43,100,100,100
2018 / 01,Manhattan,9,MN09,MN092,80,93.33,83.72,93.02,95.83,95.83,100,100
2018 / 01,Manhattan,9,MN09,MN093,80,94,95.83,97.92,100,100,100,100
2018 / 01,Manhattan,10,MN10,MN101,90,99,91.35,97.12,95.83,97.92,89.8,95.92
2018 / 01,Manhattan,10,MN10,MN103,94,98,82.35,96.08,100,96.3,88,96
2018 / 01,Manhattan,10,MN10,MN104,89.8,97.96,91.84,100,96.15,100,83.33,95.83
2018 / 01,Manhattan,11,MN11,MN111,73.33,90,90.16,96.72,91.53,96.55,96.55,100
2018 / 01,Manhattan,11,MN11,MN112,66.67,83.33,85.25,98.36,94.92,94.92,100,96.67
2018 / 01,Manhattan,11,MN11,MN113,75,96.43,94.74,94.74,98.28,100,100,92.31
2018 / 01,Manhattan,12,MN12,MN121,57.14,89.8,96,92,100,100,81.63,95.83
2018 / 01,Manhattan,12,MN12,MN122,72,88,79.17,95.83,100,100,82.35,96.08
2018 / 01,Manhattan,12,MN12,MN123,68,92,96,92,100,100,91.67,95.83
2018 / 01,Manhattan,12,MN12,MN124,69.39,97.96,100,100,100,100,91.84,95.92
2018 / 01,Bronx,1,BX01,BX011,92.31,100,94.74,94.74,100,97.44,87.18,87.18
2018 / 01,Bronx,1,BX01,BX012,97.5,100,95.56,100,95,97.5,75,90
2018 / 02,Bronx,1,BX01,BX011,91.36,93.83,92.31,100,81.82,80.52,95.12,95.12
2018 / 02,Bronx,1,BX01,BX012,91.57,93.98,97.5,100,79.49,80.77,90.7,90.7
2018 / 03,Bronx,1,BX01,BX011,92.5,97.5,91.36,93.83,100,97.5,94.74,94.74
2018 / 03,Bronx,1,BX01,BX012,82.5,100,91.57,93.98,97.5,100,95.56,100
2018 / 01,Bronx,2,BX02,BX021,92,91.13,98.36,98.36,95.77,95.04,89.89,86.44
2018 / 02,Bronx,2,BX02,BX021,89.77,90.08,92,91.13,90.95,91.77,91.08,93.59
2018 / 03,Bronx,2,BX02,BX021,91.27,91.2,89.77,90.08,97.44,96.58,98.36,98.36
2018 / 01,Bronx,3,BX03,BX031,93.91,94.74,96.97,95.83,95.42,96.71,87.05,92.02
2018 / 02,Bronx,3,BX03,BX031,90.43,90.86,93.91,94.74,76.88,88.32,93.75,96.84
